Crop_Name,Growing_Duration,Season,Fertilizer_Application,Pesticides_Used,Cultivation_Guide
Rice (Chawal),120-150 days,"Kharif (June-July), Rabi (Oct-Nov)","N:120 kg/ha, P2O5:60 kg/ha, K2O:40 kg/ha. Apply FYM 12.5 t/ha. Split N in 3 doses: 50% basal, 25% tillering, 25% panicle initiation. Full P&K as basal",Herbicides: Propanil 2kg/ha at 20 DAS. Insecticides: Carbofuran 3CG 33kg/ha for stem borer. Fungicides: Carbendazim for blast,Transplant 18-22 day old seedlings at 15x10cm spacing. Maintain 5cm water level. Treat seeds with Azospirillum. Apply zinc sulphate 0.5% if deficient
Maize (Corn/Makka),90-110 days,"Kharif (June-July), Rabi (Oct-Nov), Spring (Feb-Mar)","N:150 kg/ha, P2O5:75 kg/ha, K2O:75 kg/ha. Apply FYM 12.5 t/ha. Half N and full P,K as basal at sowing. Remaining N at tasseling stage","Herbicides: Atrazine 50% WP 400g + Tembotrione 115ml/acre at 20-25 DAS. Insecticides: Carbofuran 33kg/ha for shoot fly, Chlorpyriphos for stem borer","Spacing: 60x25cm. Seed rate: 20-25 kg/ha. Treat seeds with Carbofuran + Carbendazim + Azospirillum. Irrigate at critical stages: knee-high, tasseling, grain filling"
Chickpea (Gram/Chana),95-105 days,Rabi (October-November),"N:20-30 kg/ha, P2O5:40-60 kg/ha, K2O:17-30 kg/ha. Apply FYM 5 t/ha. All as basal dose. Foliar spray of 2% urea at flowering","Seed treatment: Thiram 2g + Carbendazim 1g/kg. Insecticides: Endosulfan 0.07%, NPV 250 LE/ha for pod borer. Spray 5% NSKE for IPM",Spacing: 30x10cm. Seed rate: 30-70 kg/ha based on seed size. Treat with Rhizobium 200g/8kg + PSB. One irrigation at pod initiation. Sow in October
Kidney Beans (Rajma),100-140 days,"Rabi (October-November), Spring (February-March)","N:20-25 kg/ha, P2O5:40-50 kg/ha, K2O:20-30 kg/ha. Avoid excessive N. Apply balanced 5-10-10 NPK at planting. Beans fix their own nitrogen",Seed treatment: Thiram or Captan 3g/kg. Insecticides: Imidacloprid for aphids. Use organic neem oil. Avoid chemical overuse,"Spacing: Bush type 45x10cm, Vine type 60x15cm. Seed depth: 3-4cm. Plant after last frost. Provide trellis for vine varieties. Water regularly but avoid waterlogging"
Pigeon Peas (Tur/Arhar),150-180 days,Kharif (June-July),"N:25-30 kg/ha, P2O5:40-50 kg/ha, K2O:30 kg/ha as basal. Apply FYM 5-10 t/ha. Zinc 3 kg/ha, Sulphur 20 kg/ha in deficient soils",Seed treatment: Thiram 2g + Carbendazim 1g/kg + Rhizobium. Herbicides: Pendimethalin 0.75-1 kg/ha pre-emergence. Insecticides for pod borer,"Spacing: 60x20cm. Seed rate: 15-20 kg/ha. Inoculate with Rhizobium + PSB. Irrigate at branching (30 DAS), flowering (70 DAS), podding (110 DAS)"
Moth Beans (Matki),75-90 days,Kharif (July-August),"N:15-20 kg/ha, P2O5:30-40 kg/ha, K2O:15-20 kg/ha. Apply FYM 4-5 t/ha. All as basal application. Minimal nitrogen needed due to N-fixation",Seed treatment: Thiram 2g/kg. Insecticides: Quinalphos or Monocrotophos for pod borers. Herbicides: Pendimethalin pre-emergence,Spacing: 30x10cm. Seed rate: 12-15 kg/ha. Drought tolerant. Grows well in arid regions. Light irrigation at flowering improves yield
Mung Bean (Green Gram/Moong),60-70 days,"Kharif (July), Rabi (Oct), Summer (Feb-Mar)","N:15-20 kg/ha, P2O5:30-40 kg/ha, K2O:20 kg/ha. Apply SSP 100 kg/acre + Zinc Sulphate 4-6 kg/acre at sowing. Excess N not required",Seed treatment: Thiram 3g/kg + Rhizobium culture. Herbicides: Pendimethalin 30% at sowing. Insecticides: Imidacloprid for thrips and aphids,"Spacing: 30x10cm. Seed rate: 15-20 kg/ha. Seed treatment with FIR method (Fungicide-Insecticide-Rhizobium). Light irrigation at germination, flowering, pod formation"
Black Gram (Urad),70-80 days,"Kharif (July), Rabi (October)","N:20-25 kg/ha, P2O5:40-50 kg/ha, K2O:20-25 kg/ha. Apply FYM 5 t/ha. All fertilizers as basal. Rhizobium inoculation reduces N need",Seed treatment: Thiram 2.5g/kg + Rhizobium. Insecticides: Quinalphos for pod borer. Fungicides: Carbendazim for wilt and leaf spot,Spacing: 30x10cm. Seed rate: 15-20 kg/ha. Inoculate seeds with Rhizobium + PSB culture. One or two irrigations at flowering and pod development
Lentil (Masoor),110-130 days,Rabi (October-November),"N:15-20 kg/ha, P2O5:40-50 kg/ha, K2O:20 kg/ha. Apply FYM 1-2 t/ha. Sulphur 8 kg/acre. Zinc foliar spray 2% if deficient",Seed treatment: Carbendazim 2.5g/kg. Herbicides: Pendimethalin 0.75-1 kg/ha pre-emergence. Insecticides for aphids and pod borer,Spacing: 30x10cm. Seed rate: 30-40 kg/ha. Inoculate with Rhizobium leguminosarum. Avoid waterlogging. One irrigation at flowering if needed
Pomegranate (Anar),150-180 days (fruit maturity),Planting: Feb-Mar or July-Aug,"Young plants: 100g Urea + 200g SSP + 100g MOP per year. Bearing plants: 500-700g N, 200-300g P, 300-400g K per plant/year. Apply in splits. Calcium nitrate and SOP critical","Fungicides: Bordeaux mixture 1%, Copper oxychloride for diseases. Insecticides: Imidacloprid for thrips, Neem oil 0.5% for pests. Bio-fungicides like Trichoderma","Spacing: 2.5-3m. Drip irrigation recommended. Apply micronutrients (Zn, B, Fe) through fertigation. Prune regularly. Fruit bagging prevents pest damage"
Banana (Kela),12-15 months (planting to harvest),"Year-round (best: Feb-Mar, Sep-Oct)","N:200-300g, P:90-175g, K:300-450g per plant in 3-4 splits at 3rd, 5th, 7th month. Apply FYM 40-50 t/ha. Tissue culture plants need 50% extra fertilizer","Nematicides: Carbofuran 3G 50g/plant. Fungicides: Bordeaux mixture, Copper oxychloride for Sigatoka. Insecticides: Monocrotophos for pseudostem weevil",Spacing: 1.8x1.8m. Use suckers or tissue culture plants. Mulch heavily. Irrigate regularly. Desuckering and propping required. Bunches ready 100-150 days after flowering
